UI_Element,Default_Value,Percentage,Count,Total_Responses,Unique_Options
font_style_pref,2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),37.95,85,224,4
font_size_pref,"3. Large (16-18px - Easy to read, comfortable)",47.77,107,224,4
color_theme_pref,"Minimalist Black & White (Clean, high contrast, professional)",25.0,56,224,6
accent_color_pref,"Blue (Trustworthy, professional, calm)",58.04,130,224,7
background_pref,"Cream/Off-white (Warm, comfortable, paper-like)",36.16,81,224,5
whitespace_pref,Balanced (Moderate spacing - comfortable middle ground),73.66,165,224,3
button_style_pref,"Rounded Corners (Soft, modern rounded edges)",41.07,92,224,6
hero_banner_size,Medium Split (Takes up half the screen),53.57,120,224,4
recommendation_type,Deals (Products on sale or special offers),48.21,108,224,4
social_proof_display,User Photos (Photos uploaded by customers),36.61,82,224,5
urgency_pref,Both (Show both stock and time based urgency),32.14,72,224,5
checkout_style,One Page (All checkout steps on a single scrolling page),37.05,83,224,5
form_field_style,Rounded Border Fields (Outlined field with rounded corners),25.0,56,224,8
product_desc_length,Expandable Sections (Organized into collapsible sections),31.25,70,224,4
