Persona,UI_Element,Override_Value,Default_Value,Persona_Count,Persona_Share,Confidence,Support,Evidence,Evidence_Count
Browser,desktop_review_display,All Paginated (Show all reviews with pagination),Recent 3- 5 (Show a few recent reviews),18,0.5,0.5,0.080357,"Statistics, Random Forest",2
Browser,desktop_navigation,Mega Menu (Dropdown with images and subcategories),Top Bar (Categories always visible across the top),12,0.3333,0.333333,0.053571,"Random Forest, SHAP",2
Browser,desktop_price_display,Strike-through Original (Shows original price crossed out with sale price),With Savings Highlighted (Shows discount amount prominently),11,0.3056,0.305556,0.049107,"Statistics, Random Forest, SHAP",3
Browser,color_theme_pref,"Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Minimalist Black & White (Clean, high contrast, professional)",10,0.2778,0.277778,0.044643,"Statistics, Random Forest, SHAP",3
Browser,urgency_pref,None (I find these annoying and manipulative),Both (Show both stock and time based urgency),10,0.2778,0.277778,0.044643,"Statistics, Random Forest, SHAP",3
Browser,form_field_style,Outlined (Border around the field),Rounded Border Fields (Outlined field with rounded corners),10,0.2778,0.277778,0.044643,"Statistics, Random Forest, SHAP",3
Browser,desktop_grid_pref,"2 Columns (Large product images, fewer items per row)","3 Columns (Balanced view, moderate item size)",10,0.2778,0.277778,0.044643,"Statistics, Random Forest, SHAP",3
Deal Hunter,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",17,0.5312,0.53125,0.075893,"Statistics, Random Forest, SHAP",3
Deal Hunter,font_style_pref,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),16,0.5,0.5,0.071429,"Statistics, SHAP",2
Deal Hunter,desktop_filter_location,Top Bar (Filters displayed across the top),Sidebar Left (Permanent filter panel on the left side),14,0.4375,0.4375,0.0625,"Random Forest, SHAP",2
Deal Hunter,desktop_price_display,With Comparison (Shows similar products' prices),With Savings Highlighted (Shows discount amount prominently),13,0.4062,0.40625,0.058036,"Statistics, Random Forest, SHAP",3
Deal Hunter,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),11,0.3438,0.34375,0.049107,"Random Forest, SHAP",2
Deal Hunter,desktop_grid_pref,"4 Columns (Compact view, many items visible at once)","3 Columns (Balanced view, moderate item size)",11,0.3438,0.34375,0.049107,"Statistics, Random Forest, SHAP",3
Deal Hunter,desktop_navigation,Sidebar (Permanent navigation panel on the left),Top Bar (Categories always visible across the top),11,0.3438,0.34375,0.049107,"Random Forest, SHAP",2
Deal Hunter,color_theme_pref,Cool Blues (Blues and grays - calm and trustworthy),"Minimalist Black & White (Clean, high contrast, professional)",10,0.3125,0.3125,0.044643,"Statistics, Random Forest, SHAP",3
Impulsive Buyer,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),12,0.4,0.4,0.053571,"Random Forest, SHAP",2
Impulsive Buyer,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",11,0.3667,0.366667,0.049107,"Statistics, Random Forest, SHAP",3
Impulsive Buyer,desktop_price_display,Bold Large (Price is the most prominent element),With Savings Highlighted (Shows discount amount prominently),10,0.3333,0.333333,0.044643,"Statistics, Random Forest, SHAP",3
Impulsive Buyer,form_field_style,Outlined (Border around the field),Rounded Border Fields (Outlined field with rounded corners),8,0.2667,0.266667,0.035714,"Statistics, Random Forest, SHAP",3
Loyal Customer,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",12,0.5217,0.521739,0.053571,"Statistics, Random Forest, SHAP",3
Loyal Customer,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",12,0.5217,0.521739,0.053571,"Random Forest, SHAP",2
Loyal Customer,mobile_review_display,Summary Only (Average rating and total count),Collapsible Sections (Reviews can be expanded or collapsed within the product details),12,0.5217,0.521739,0.053571,"Statistics, Random Forest, SHAP",3
Loyal Customer,hero_banner_size,Small Strip (Thin banner across the top),Medium Split (Takes up half the screen),11,0.4783,0.478261,0.049107,"Statistics, Random Forest",2
Loyal Customer,desktop_filter_location,Top Bar (Filters displayed across the top),Sidebar Left (Permanent filter panel on the left side),11,0.4783,0.478261,0.049107,"Random Forest, SHAP",2
Loyal Customer,font_style_pref,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),9,0.3913,0.391304,0.040179,"Statistics, SHAP",2
Loyal Customer,social_proof_display,Customer Reviews (Written reviews with ratings),User Photos (Photos uploaded by customers),9,0.3913,0.391304,0.040179,"Random Forest, SHAP",2
Loyal Customer,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",7,0.3043,0.304348,0.03125,"Statistics, Random Forest, SHAP",3
Loyal Customer,background_pref,Dark (Dark gray or black background),"Cream/Off-white (Warm, comfortable, paper-like)",7,0.3043,0.304348,0.03125,"Statistics, Random Forest",2
Loyal Customer,form_field_style,"Filled Background (Shaded background, no border)",Rounded Border Fields (Outlined field with rounded corners),7,0.3043,0.304348,0.03125,"Statistics, Random Forest, SHAP",3
