Mood,UI_Element,Override_Value,Default_Value,Mood_Count,Mood_Share,Confidence,Support,Evidence,Evidence_Count
Bored,urgency_pref,"Stock Numbers (Show ""Only 3 left in stock"")",Both (Show both stock and time based urgency),10,0.4545,0.454545,0.044643,"Statistics, Random Forest, SHAP",3
Bored,desktop_filter_location,Top Bar (Filters displayed across the top),Sidebar Left (Permanent filter panel on the left side),9,0.4091,0.409091,0.040179,"Random Forest, SHAP",2
Bored,desktop_navigation,Sidebar (Permanent navigation panel on the left),Top Bar (Categories always visible across the top),8,0.3636,0.363636,0.035714,"Statistics, SHAP",2
Bored,desktop_price_display,Bold Large (Price is the most prominent element),With Savings Highlighted (Shows discount amount prominently),8,0.3636,0.363636,0.035714,"Statistics, Random Forest",2
Bored,color_theme_pref,Cool Blues (Blues and grays - calm and trustworthy),"Minimalist Black & White (Clean, high contrast, professional)",6,0.2727,0.272727,0.026786,"Statistics, Random Forest",2
Excited,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",8,0.8,0.8,0.035714,"Statistics, SHAP",2
Excited,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",7,0.7,0.7,0.03125,"Statistics, Random Forest",2
Excited,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",5,0.5,0.5,0.022321,"Statistics, Random Forest",2
Excited,urgency_pref,"Countdown Timers (Show ""Sale ends in 2 hours"")",Both (Show both stock and time based urgency),5,0.5,0.5,0.022321,"Statistics, Random Forest, SHAP",3
Happy,desktop_search_visibility,Collapsible (Search bar that expands when clicked),"Always Visible Top (Large, prominent search bar always shown)",14,0.7,0.764706,0.065,"Statistics, Random Forest, SHAP, Association Rules",4
Happy,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),11,0.55,0.55,0.049107,"Statistics, SHAP",2
Happy,desktop_price_display,With Comparison (Shows similar products' prices),With Savings Highlighted (Shows discount amount prominently),8,0.4,0.4,0.035714,"Statistics, Random Forest",2
Happy,desktop_navigation,Mega Menu (Dropdown with images and subcategories),Top Bar (Categories always visible across the top),7,0.35,0.35,0.03125,"Statistics, SHAP",2
Happy,mobile_category_display,Visual Grid (Category tiles with images),Dropdown Menu (Text-based dropdown list),7,0.35,0.35,0.03125,"Statistics, Random Forest, SHAP",3
Happy,urgency_pref,"Countdown Timers (Show ""Sale ends in 2 hours"")",Both (Show both stock and time based urgency),5,0.25,0.25,0.022321,"Statistics, Random Forest, SHAP",3
Neutral,mobile_category_display,Visual Grid (Category tiles with images),Dropdown Menu (Text-based dropdown list),39,0.4535,0.453488,0.174107,"Statistics, Random Forest, SHAP",3
Neutral,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),34,0.3953,0.395349,0.151786,"Statistics, SHAP",2
Neutral,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",33,0.3837,0.383721,0.147321,"Statistics, SHAP",2
Neutral,desktop_navigation,Mega Menu (Dropdown with images and subcategories),Top Bar (Categories always visible across the top),27,0.314,0.313953,0.120536,"Statistics, SHAP",2
Neutral,desktop_price_display,With Comparison (Shows similar products' prices),With Savings Highlighted (Shows discount amount prominently),25,0.2907,0.290698,0.111607,"Statistics, Random Forest",2
Relaxed,mobile_sticky_header,No (Header scrolls away with content),Yes (Header stays at top while scrolling),21,0.5,0.5,0.09375,"Statistics, Random Forest, SHAP",3
Relaxed,desktop_search_visibility,Collapsible (Search bar that expands when clicked),"Always Visible Top (Large, prominent search bar always shown)",20,0.4762,0.47619,0.089286,"Statistics, Random Forest, SHAP",3
Relaxed,desktop_quick_view,Modal Popup (Product details appear in a centered overlay),Sidebar Slide (Details slide in from the right),18,0.4286,0.428571,0.080357,"Statistics, Random Forest, SHAP",3
Relaxed,desktop_navigation,Sidebar (Permanent navigation panel on the left),Top Bar (Categories always visible across the top),15,0.3571,0.357143,0.066964,"Statistics, SHAP",2
Relaxed,desktop_price_display,Strike-through Original (Shows original price crossed out with sale price),With Savings Highlighted (Shows discount amount prominently),13,0.3095,0.309524,0.058036,"Statistics, Random Forest",2
Relaxed,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",11,0.2619,0.261905,0.049107,"Statistics, Random Forest",2
Stressed,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",20,0.5882,0.588235,0.089286,"Statistics, Random Forest",2
Stressed,mobile_filter_location,Bottom Sheet (Slides up from bottom   mobile style),Drawer Overlay (Slides in from the side when clicked),15,0.4412,0.441176,0.066964,"Statistics, Random Forest, SHAP",3
Stressed,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",14,0.4118,0.411765,0.0625,"Statistics, SHAP",2
Stressed,desktop_category_display,Text List (Simple text links),Visual Grid (Category tiles with images),12,0.3529,0.352941,0.053571,"Statistics, Random Forest",2
Stressed,background_pref,"Light Gray (Soft, reduces eye strain)","Cream/Off-white (Warm, comfortable, paper-like)",10,0.2941,0.294118,0.044643,"Random Forest, SHAP",2
Stressed,urgency_pref,"Countdown Timers (Show ""Sale ends in 2 hours"")",Both (Show both stock and time based urgency),8,0.2353,0.235294,0.035714,"Statistics, Random Forest, SHAP",3
