UI_Element,Default_Value,Percentage,Count,Total_Responses,Unique_Options
mobile_grid_pref,Compact stacked cards (more products per screen),48.21,108,224,4
mobile_info_density,"Moderate (Balanced - some details visible, click for more)",68.3,153,224,3
mobile_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)",82.59,185,224,3
mobile_whitespace,Balanced,83.04,186,224,3
mobile_navigation,Bottom Nav (Navigation bar at the bottom - mobile style),50.45,113,224,4
mobile_search_visibility,Collapsible (Search bar that expands when clicked),40.18,90,224,3
mobile_category_display,Dropdown Menu (Text-based dropdown list),43.75,98,224,3
mobile_product_card,"Info Rich (Lots of details, ratings, specs visible)",39.73,89,224,5
mobile_price_display,Strike-through Original (Shows original price crossed out with sale price),60.71,136,224,3
mobile_filter_location,Drawer Overlay (Slides in from the side when clicked),58.48,131,224,3
mobile_quick_view,Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),53.57,120,224,3
mobile_review_display,Collapsible Sections (Reviews can be expanded or collapsed within the product details),54.46,122,224,3
mobile_sticky_header,Yes (Header stays at top while scrolling),65.62,147,224,2
mobile_touch_size,"Standard (Normal size, more content visible)",54.91,123,224,3
