Timestamp,consent,age_group,gender,education_level,primary_device,shopping_motivation,decision_speed,price_sensitivity,review_importance,brand_loyalty,social_proof_influence,primary_persona,check1,trait_introversion,trait_trust,trait_low_conscientiousness,trait_emotional_stability,check2,trait_low_openness,trait_extraversion,trait_agreeableness_reverse,trait_conscientiousness,trait_neuroticism,trait_openness,current_mood,font_style_pref,font_size_pref,color_theme_pref,accent_color_pref,background_pref,whitespace_pref,button_style_pref,hero_banner_size,recommendation_type,social_proof_display,urgency_pref,check3,checkout_style,form_field_style,product_desc_length,check4,desktop_grid_pref,desktop_info_density,desktop_image_text_ratio,desktop_whitespace,desktop_navigation,desktop_search_visibility,desktop_category_display,check5,desktop_product_card,desktop_price_display,desktop_filter_location,desktop_persistent_filters,desktop_quick_view,desktop_review_display,mobile_grid_pref,mobile_info_density,mobile_image_text_ratio,mobile_whitespace,mobile_navigation,mobile_search_visibility,mobile_category_display,mobile_product_card,mobile_price_display,mobile_filter_location,mobile_quick_view,mobile_review_display,mobile_sticky_header,mobile_touch_size,expects_device_adaptation,adaptation_comfort,delight_factors,frustration_points
20/01/2026 17:24:30,Yes,18-24,Male,Graduate,Smartphone,Research (I like exploring products and learning about them),Quick (5-15 minutes - I know what I want),Moderately important (I balance price and quality),Sometimes read reviews (For certain product types),Balanced (I mix familiar and new brands),Moderate influence (They help me decide),"The Impulsive Buyer (I make quick decisions based on intuition and emotion. If I like it, I buy it)",3,3,3,3,3,3,3,3,3,3,3,3,Neutral,2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),"2. Medium (14-16px - Standard size, balanced)","Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Green (Natural, positive, go-ahead)","Pure White (Clean, bright, maximum contrast)",Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Medium Split (Takes up half the screen),Trending (What's popular right now),"Bestseller Badges (""Most Popular"" or ""Bestseller"" tags)","Countdown Timers (Show ""Sale ends in 2 hours"")",Rounded Corners,Progress Bar (Multi step with visual progress indicator),Underlined (Line underneath only),Moderate (Key details with option to expand),3,"4 Columns (Compact view, many items visible at once)","Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Mega Menu (Dropdown with images and subcategories),Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),3,"Info Rich (Lots of details, ratings, specs visible)",With Comparison (Shows similar products' prices),Top Bar (Filters displayed across the top),No (Prefer filters in a different location),Sidebar Slide (Details slide in from the right),Recent 3- 5 (Show a few recent reviews),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),"Always Visible Top (Large, prominent search bar always shown)",Mega Menu with Images (Large dropdown with category images and subcategories),"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Drawer Overlay (Slides in from the side when clicked),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),No (Header scrolls away with content),"Large (Easier to tap, less content visible)",Somewhat Different (Adapted but recognizable),3,nan,nan
20/01/2026 17:27:08,Yes,25-34,Female,Graduate,Smartphone,Deal-hunting (I look for sales and discounts),Moderate (15-30 minutes - I compare a few options),Moderately important (I balance price and quality),Often read reviews (For most purchases),Balanced (I mix familiar and new brands),Strong influence (They significantly affect my choices),The Loyal Customer (I stick with brands and stores I trust. I value consistency and reliability),3,3,5,3,3,3,5,4,2,4,2,4,Happy,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",4. Extra Large (18+px - Maximum readability),"Minimalist Black & White (Clean, high contrast, professional)","Green (Natural, positive, go-ahead)","Light Gray (Soft, reduces eye strain)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),Category based (Similar items from the same category),Customer Reviews (Written reviews with ratings),"Countdown Timers (Show ""Sale ends in 2 hours"")",Rounded Corners,Progress Bar (Multi step with visual progress indicator),"Filled Background (Shaded background, no border)",Expandable Sections (Organized into collapsible sections),3,"2 Columns (Large product images, fewer items per row)","Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Info Rich (Lots of details, ratings, specs visible)",With Savings Highlighted (Shows discount amount prominently),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Sidebar Slide (Details slide in from the right),Recent 3- 5 (Show a few recent reviews),Single-column large cards (easy to scroll and tap),"Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),"Minimal Clean (Simple image, name, price - no clutter)",Strike-through Original (Shows original price crossed out with sale price),Drawer Overlay (Slides in from the side when clicked),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),5,the website or the application should be user-friendly,when the description or the photo of the product is unclear
20/01/2026 17:38:38,Yes,18-24,Male,Graduate,Smartphone,Entertainment (I browse for fun and enjoyment),Impulsive (Less than 5 minutes - I decide quickly),Somewhat unimportant (Price matters but isn't a dealbreaker),Sometimes read reviews (For certain product types),Often try new brands (I'm open to switching),Slight influence (I notice but don't rely on them),"The Minimalist (I want simple, efficient shopping. Show me what I need with minimal fuss)",3,3,4,2,2,3,3,5,4,2,3,3,Happy,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)","1. Small (12-14px - Compact, more content visible)","Minimalist Black & White (Clean, high contrast, professional)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)",Compact (Minimal spacing - more content visible at once),"Sharp Square (Clean, professional 90-degree corners)",Medium Split (Takes up half the screen),Category based (Similar items from the same category),Ratings Only (Star ratings without detailed reviews),Both (Show both stock and time based urgency),Rounded Corners,Progress Bar (Multi step with visual progress indicator),Outlined (Border around the field),Brief Summary (Just the essential information),3,"2 Columns (Large product images, fewer items per row)","Minimal (Only key information - product name, price, image)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),Collapsible (Search bar that expands when clicked),Dropdown Menu (Text-based dropdown list),3,"Minimal Clean (Simple image, name, price - no clutter)",With Comparison (Shows similar products' prices),Top Bar (Filters displayed across the top),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),Summary Only (Average rating and total count),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Full-screen category menu,"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),"Minimal Clean (Simple image, name, price - no clutter)",Simple Display (Price is visible but not emphasized),Drawer Overlay (Slides in from the side when clicked),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Summary Only (Average rating and total count),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)",Somewhat Different (Adapted but recognizable),4,It allows me to buy items new to me and it saves a lot of time.,Lack of stock or high prices for low quality
20/01/2026 17:41:19,Yes,25-34,Female,Postgraduate,Smartphone,Need-based (I shop when I need something specific),Research-heavy (30+ minutes - I thoroughly research before buying),Moderately important (I balance price and quality),Often read reviews (For most purchases),Prefer familiar brands (I stick with what works),Strong influence (They significantly affect my choices),"The Researcher (I thoroughly research products, read reviews, compare options, and take my time making informed decisions)",3,5,5,2,3,3,3,4,1,4,1,2,Bored,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",4. Extra Large (18+px - Maximum readability),"Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Large Full screen (Takes up entire first screen),Category based (Similar items from the same category),Customer Reviews (Written reviews with ratings),"Countdown Timers (Show ""Sale ends in 2 hours"")",Rounded Corners,One Page (All checkout steps on a single scrolling page),"Minimal (Very subtle, clean design)",Moderate (Key details with option to expand),3,"4 Columns (Compact view, many items visible at once)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Balanced,Mega Menu (Dropdown with images and subcategories),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Info Rich (Lots of details, ratings, specs visible)",Bold Large (Price is the most prominent element),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Sidebar Slide (Details slide in from the right),Recent 3- 5 (Show a few recent reviews),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Compact (more content visible),Full-screen category menu,Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),"Info Rich (Lots of details, ratings, specs visible)",Simple Display (Price is visible but not emphasized),Drawer Overlay (Slides in from the side when clicked),No Quick View (I prefer to go to the full product page),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)","Yes, Very Different (Completely different design for each device)",5,Search bar - filters - colors of the pages,If I can’t sea the prices clearly or no filters or check out takes alot of steps
20/01/2026 17:46:10,Yes,25-34,Female,Graduate,Smartphone,Research (I like exploring products and learning about them),Moderate (15-30 minutes - I compare a few options),Somewhat unimportant (Price matters but isn't a dealbreaker),Always read reviews (I won't buy without checking reviews),Balanced (I mix familiar and new brands),No influence (I ignore these indicators),"The Impulsive Buyer (I make quick decisions based on intuition and emotion. If I like it, I buy it)",3,3,5,4,5,3,3,5,1,3,1,5,Neutral,"4. Bold Impact (Strong, attention-grabbing fonts)","1. Small (12-14px - Compact, more content visible)","Minimalist Black & White (Clean, high contrast, professional)","Red (Bold, urgent, attention-grabbing)","Pure White (Clean, bright, maximum contrast)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Small Strip (Thin banner across the top),Trending (What's popular right now),User Photos (Photos uploaded by customers),"Countdown Timers (Show ""Sale ends in 2 hours"")",Rounded Corners,Express Checkout (One click purchase with saved info),"Filled Background (Shaded background, no border)",Expandable Sections (Organized into collapsible sections),3,List View (One product per row with details on the side),"Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Sidebar (Permanent navigation panel on the left),"Icon Only (Magnifying glass icon, opens search when clicked)",Text List (Simple text links),3,"Badge Heavy (Shows bestseller, new, sale badges prominently)",Strike-through Original (Shows original price crossed out with sale price),Modal (Pops up in the center when clicked),Yes (Always visible sidebar with filters),Sidebar Slide (Details slide in from the right),Recent 3- 5 (Show a few recent reviews),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Full-screen category menu,"Icon Only (Magnifying glass icon, opens search when clicked)",Dropdown Menu (Text-based dropdown list),"Badge Heavy (Shows bestseller, new, sale badges prominently)",Strike-through Original (Shows original price crossed out with sale price),Full-Screen Overlay (Displayed across screen),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Summary Only (Average rating and total count),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)","Yes, Very Different (Completely different design for each device)",5,Very easy,Complicated websites
20/01/2026 17:54:33,Yes,25-34,Female,Postgraduate,Smartphone,Research (I like exploring products and learning about them),Impulsive (Less than 5 minutes - I decide quickly),Somewhat unimportant (Price matters but isn't a dealbreaker),Often read reviews (For most purchases),Balanced (I mix familiar and new brands),Strong influence (They significantly affect my choices),"The Impulsive Buyer (I make quick decisions based on intuition and emotion. If I like it, I buy it)",3,5,5,3,1,3,5,5,1,4,4,5,Excited,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)","2. Medium (14-16px - Standard size, balanced)","Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Pink (Playful, modern, soft)","Light Gray (Soft, reduces eye strain)",Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Medium Split (Takes up half the screen),Deals (Products on sale or special offers),User Photos (Photos uploaded by customers),Both (Show both stock and time based urgency),Rounded Corners,Progress Bar (Multi step with visual progress indicator),"Filled Background (Shaded background, no border)",Detailed Full (All specifications and information visible),3,"2 Columns (Large product images, fewer items per row)","Minimal (Only key information - product name, price, image)","Balanced (50% images, 50% text - equal emphasis)",Compact (more content visible),Sidebar (Permanent navigation panel on the left),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Minimal Clean (Simple image, name, price - no clutter)",Bold Large (Price is the most prominent element),Top Bar (Filters displayed across the top),Yes (Always visible sidebar with filters),New Tab (Opens product in a new browser tab),All Paginated (Show all reviews with pagination),Single-column large cards (easy to scroll and tap),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Spacious (clean and uncluttered),Swipe-based navigation,Collapsible (Search bar that expands when clicked),Mega Menu with Images (Large dropdown with category images and subcategories),"Minimal Clean (Simple image, name, price - no clutter)",Simple Display (Price is visible but not emphasized),Drawer Overlay (Slides in from the side when clicked),Direct navigation (Each product card includes a button that takes you directly to the product page when tapped),Ratings Bar Only (Visual breakdown of star ratings),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)","Yes, Very Different (Completely different design for each device)",5,"A great online shopping experience for me includes a clean, easy-to-use website, detailed product images, and honest reviews. Fast checkout, multiple payment options, and clear delivery timelines make me want to return to the website.","My main frustration is hidden costs like high shipping fees that appear at the last step of checkout. Slow websites, complicated checkout processes, or unclear return policies also make me abandon the purchase and switch to another site."
20/01/2026 17:58:02,Yes,18-24,Female,Undergraduate,Smartphone,Need-based (I shop when I need something specific),Research-heavy (30+ minutes - I thoroughly research before buying),Somewhat unimportant (Price matters but isn't a dealbreaker),Sometimes read reviews (For certain product types),Balanced (I mix familiar and new brands),Moderate influence (They help me decide),"The Browser (I enjoy browsing and discovering products, often without immediate purchase intent)",3,4,5,3,2,3,3,3,2,3,3,2,Neutral,"4. Bold Impact (Strong, attention-grabbing fonts)","3. Large (16-18px - Easy to read, comfortable)","Minimalist Black & White (Clean, high contrast, professional)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)","Spacious (Lots of spacing - clean, uncluttered, breathing room)","Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),New Arrivals (Latest products added),Customer Reviews (Written reviews with ratings),Only on Request (Show only if I ask),Rounded Corners,"Multi step (Separate pages for shipping, payment, review)","Filled Background (Shaded background, no border)",Detailed Full (All specifications and information visible),3,"2 Columns (Large product images, fewer items per row)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Mega Menu (Dropdown with images and subcategories),Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),3,"Badge Heavy (Shows bestseller, new, sale badges prominently)",Strike-through Original (Shows original price crossed out with sale price),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),All Paginated (Show all reviews with pagination),Compact stacked cards (more products per screen),"Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Full-screen category menu,Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),"Minimal Clean (Simple image, name, price - no clutter)",Strike-through Original (Shows original price crossed out with sale price),Bottom Sheet (Slides up from bottom mobile style),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)",Somewhat Different (Adapted but recognizable),3,nan,nan
20/01/2026 18:09:34,Yes,18-24,Male,Undergraduate,Smartphone,Need-based (I shop when I need something specific),Moderate (15-30 minutes - I compare a few options),Important (Price is a major factor in my decisions),Sometimes read reviews (For certain product types),Prefer familiar brands (I stick with what works),Moderate influence (They help me decide),"The Impulsive Buyer (I make quick decisions based on intuition and emotion. If I like it, I buy it)",3,3,2,4,5,3,3,3,2,4,1,4,Neutral,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",4. Extra Large (18+px - Maximum readability),"Minimalist Black & White (Clean, high contrast, professional)","Blue (Trustworthy, professional, calm)","Pure White (Clean, bright, maximum contrast)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Large Full screen (Takes up entire first screen),Deals (Products on sale or special offers),User Photos (Photos uploaded by customers),Both (Show both stock and time based urgency),Rounded Corners,One Page (All checkout steps on a single scrolling page),Outlined (Border around the field),Detailed Full (All specifications and information visible),3,"4 Columns (Compact view, many items visible at once)","Minimal (Only key information - product name, price, image)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),3,Card with Shadow (Raised card effect with drop shadow),Bold Large (Price is the most prominent element),Top Bar (Filters displayed across the top),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),All Paginated (Show all reviews with pagination),List view with expandable details,"Detailed (All information visible - specs, reviews, descriptions)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Full-screen category menu,"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),"Image Heavy (Large, prominent product photos)",Bold Large (Price is the most prominent element),Full-Screen Overlay (Displayed across screen),Direct navigation (Each product card includes a button that takes you directly to the product page when tapped),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)",Somewhat Different (Adapted but recognizable),5,"I like the features to be modern and smart, also the design must be simple to make the user feel comfortable.",Unorganized dashboard
20/01/2026 18:17:25,Yes,18-24,Female,Graduate,Smartphone,Entertainment (I browse for fun and enjoyment),Moderate (15-30 minutes - I compare a few options),Moderately important (I balance price and quality),Often read reviews (For most purchases),Always try new brands (I love discovering new products),Slight influence (I notice but don't rely on them),"The Minimalist (I want simple, efficient shopping. Show me what I need with minimal fuss)",3,5,4,5,1,3,1,4,4,5,5,5,Stressed,2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),4. Extra Large (18+px - Maximum readability),"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Orange (Energetic, friendly, warm)","Cream/Off-white (Warm, comfortable, paper-like)",Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Small Strip (Thin banner across the top),Deals (Products on sale or special offers),Ratings Only (Star ratings without detailed reviews),"Stock Numbers (Show ""Only 3 left in stock"")",Rounded Corners,Progress Bar (Multi step with visual progress indicator),"Filled Background (Shaded background, no border)",Moderate (Key details with option to expand),3,"4 Columns (Compact view, many items visible at once)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Balanced,Combination of top bar and dropdowns,"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Badge Heavy (Shows bestseller, new, sale badges prominently)",With Savings Highlighted (Shows discount amount prominently),Modal (Pops up in the center when clicked),No (Prefer filters in a different location),Modal Popup (Product details appear in a centered overlay),All Paginated (Show all reviews with pagination),List view with expandable details,"Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Hamburger Menu (Three-line icon that opens a side menu),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),"Badge Heavy (Shows bestseller, new, sale badges prominently)",Strike-through Original (Shows original price crossed out with sale price),Drawer Overlay (Slides in from the side when clicked),Direct navigation (Each product card includes a button that takes you directly to the product page when tapped),Collapsible Sections (Reviews can be expanded or collapsed within the product details),No (Header scrolls away with content),"Standard (Normal size, more content visible)",Similar (Mostly the same with minor adjustments),5,"Animation, having dark mode option, clickabilty and easy navigation.","Glitches, too many steps, when it's harder to go back and forth while navigating the website."
20/01/2026 18:25:57,Yes,18-24,Male,Graduate,Smartphone,Need-based (I shop when I need something specific),Research-heavy (30+ minutes - I thoroughly research before buying),Moderately important (I balance price and quality),Often read reviews (For most purchases),Prefer familiar brands (I stick with what works),Strong influence (They significantly affect my choices),"The Browser (I enjoy browsing and discovering products, often without immediate purchase intent)",3,3,4,2,4,3,3,4,2,4,5,5,Happy,"1. Modern Sans-serif (Clean, contemporary fonts like Arial or Helvetica)","1. Small (12-14px - Compact, more content visible)","Minimalist Black & White (Clean, high contrast, professional)","Blue (Trustworthy, professional, calm)","Pure White (Clean, bright, maximum contrast)",Compact (Minimal spacing - more content visible at once),"Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),Trending (What's popular right now),User Photos (Photos uploaded by customers),"Stock Numbers (Show ""Only 3 left in stock"")",Rounded Corners,Progress Bar (Multi step with visual progress indicator),"Minimal (Very subtle, clean design)",Expandable Sections (Organized into collapsible sections),3,"2 Columns (Large product images, fewer items per row)","Minimal (Only key information - product name, price, image)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Combination of top bar and dropdowns,Collapsible (Search bar that expands when clicked),Dropdown Menu (Text-based dropdown list),3,"Badge Heavy (Shows bestseller, new, sale badges prominently)",Bold Large (Price is the most prominent element),Top Bar (Filters displayed across the top),No (Prefer filters in a different location),Sidebar Slide (Details slide in from the right),All Paginated (Show all reviews with pagination),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),Collapsible (Search bar that expands when clicked),Dropdown Menu (Text-based dropdown list),"Badge Heavy (Shows bestseller, new, sale badges prominently)",Bold Large (Price is the most prominent element),Bottom Sheet (Slides up from bottom mobile style),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)","Yes, Very Different (Completely different design for each device)",5,nan,nan
