UI_Element,Default_Value,Percentage,Count,Total_Responses,Unique_Options
desktop_grid_pref,"3 Columns (Balanced view, moderate item size)",33.04,74,224,5
desktop_info_density,"Moderate (Balanced - some details visible, click for more)",72.77,163,224,3
desktop_image_text_ratio,"Image-focused (80% images, 20% text - highly visual)",50.0,112,224,3
desktop_whitespace,Balanced,59.82,134,224,3
desktop_navigation,Top Bar (Categories always visible across the top),29.02,65,224,4
desktop_search_visibility,"Always Visible Top (Large, prominent search bar always shown)",41.96,94,224,3
desktop_category_display,Visual Grid (Category tiles with images),41.52,93,224,4
desktop_product_card,"Info Rich (Lots of details, ratings, specs visible)",30.8,69,224,5
desktop_price_display,With Savings Highlighted (Shows discount amount prominently),26.79,60,224,5
desktop_filter_location,Sidebar Left (Permanent filter panel on the left side),43.75,98,224,3
desktop_persistent_filters,Yes (Always visible sidebar with filters),74.55,167,224,2
desktop_quick_view,Sidebar Slide (Details slide in from the right),47.77,107,224,4
desktop_review_display,Recent 3- 5 (Show a few recent reviews),39.29,88,224,4
